Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi,đau đầu,buồn nôn,tầm nhìn mờ,đói quá mức,nói ngọng,dễ kích động,đánh trống ngực,,,,,,
Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi,đau đầu,buồn nôn,tầm nhìn mờ,đói quá mức,khô tê môi,nói ngọng,dễ kích động,đánh trống ngực,,,,,
Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi,đau đầu,buồn nôn,tầm nhìn mờ,đói quá mức,khô tê môi,nói ngọng,dễ kích động,đánh trống ngực,,,,,
Hạ đường huyết,mệt mỏi,lo âu,đổ mồ hôi,đau đầu,buồn nôn,tầm nhìn mờ,đói quá mức,khô tê môi,nói ngọng,dễ kích động,đánh trống ngực,,,,,,
Hạ đường huyết,nôn mửa,lo âu,đổ mồ hôi,đau đầu,buồn nôn,tầm nhìn mờ,đói quá mức,khô tê môi,nói ngọng,dễ kích động,đánh trống ngực,,,,,,
Hạ đường huyết,nôn mửa,mệt mỏi,đổ mồ hôi,đau đầu,buồn nôn,tầm nhìn mờ,đói quá mức,khô tê môi,nói ngọng,dễ kích động,đánh trống ngực,,,,,,
Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đau đầu,buồn nôn,tầm nhìn mờ,đói quá mức,khô tê môi,nói ngọng,dễ kích động,đánh trống ngực,,,,,,
Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi,buồn nôn,tầm nhìn mờ,đói quá mức,khô tê môi,nói ngọng,dễ kích động,đánh trống ngực,,,,,,
Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi,đau đầu,tầm nhìn mờ,đói quá mức,khô tê môi,nói ngọng,dễ kích động,đánh trống ngực,,,,,,
Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi,đau đầu,buồn nôn,đói quá mức,khô tê môi,nói ngọng,dễ kích động,đánh trống ngực,,,,,,
Thoái hóa khớp,đau khớp,đau cổ,đau đầu gối,đau khớp háng,sưng khớp,đi lại đau đớn,,,,,,,,,,,
Thoái hóa khớp,đau khớp,đau cổ,đau đầu gối,đau khớp háng,sưng khớp,đi lại đau đớn,,,,,,,,,,,
Thoái hóa khớp,đau cổ,đau đầu gối,đau khớp háng,sưng khớp,đi lại đau đớn,,,,,,,,,,,,
Thoái hóa khớp,đau khớp,đau đầu gối,đau khớp háng,sưng khớp,đi lại đau đớn,,,,,,,,,,,,
Thoái hóa khớp,đau khớp,đau cổ,đau khớp háng,sưng khớp,đi lại đau đớn,,,,,,,,,,,,
Thoái hóa khớp,đau khớp,đau cổ,đau đầu gối,sưng khớp,đi lại đau đớn,,,,,,,,,,,,
Thoái hóa khớp,đau khớp,đau cổ,đau đầu gối,đau khớp háng,đi lại đau đớn,,,,,,,,,,,,
Thoái hóa khớp,đau khớp,đau cổ,đau đầu gối,đau khớp háng,sưng khớp,,,,,,,,,,,,
Thoái hóa khớp,đau khớp,đau cổ,đau đầu gối,đau khớp háng,sưng khớp,đi lại đau đớn,,,,,,,,,,,
Thoái hóa khớp,đau khớp,đau cổ,đau đầu gối,đau khớp háng,sưng khớp,đi lại đau đớn,,,,,,,,,,,
Viêm khớp,yếu cơ,cứng cổ,sưng khớp,cứng cử động,đi lại đau đớn,,,,,,,,,,,,
Viêm khớp,yếu cơ,cứng cổ,sưng khớp,cứng cử động,đi lại đau đớn,,,,,,,,,,,,
Viêm khớp,cứng cổ,sưng khớp,cứng cử động,đi lại đau đớn,,,,,,,,,,,,,
Viêm khớp,yếu cơ,sưng khớp,cứng cử động,đi lại đau đớn,,,,,,,,,,,,,
Viêm khớp,yếu cơ,cứng cổ,cứng cử động,đi lại đau đớn,,,,,,,,,,,,,
Viêm khớp,yếu cơ,cứng cổ,sưng khớp,đi lại đau đớn,,,,,,,,,,,,,
Viêm khớp,yếu cơ,cứng cổ,sưng khớp,cứng cử động,đi lại đau đớn,,,,,,,,,,,,
Viêm khớp,yếu cơ,cứng cổ,sưng khớp,cứng cử động,,,,,,,,,,,,,
Viêm khớp,yếu cơ,cứng cổ,sưng khớp,cứng cử động,đi lại đau đớn,,,,,,,,,,,,
Viêm khớp,yếu cơ,cứng cổ,sưng khớp,cứng cử động,đi lại đau đớn,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nôn mửa,đau đầu,buồn nôn,quay cuồng,mất thăng bằng,không vững,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nôn mửa,đau đầu,buồn nôn,quay cuồng,mất thăng bằng,không vững,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,đau đầu,buồn nôn,quay cuồng,mất thăng bằng,không vững,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nôn mửa,buồn nôn,quay cuồng,mất thăng bằng,không vững,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nôn mửa,đau đầu,quay cuồng,mất thăng bằng,không vững,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nôn mửa,đau đầu,buồn nôn,mất thăng bằng,không vững,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nôn mửa,đau đầu,buồn nôn,quay cuồng,không vững,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nôn mửa,đau đầu,buồn nôn,quay cuồng,mất thăng bằng,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nôn mửa,đau đầu,buồn nôn,quay cuồng,mất thăng bằng,không vững,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nôn mửa,đau đầu,buồn nôn,mất thăng bằng,không vững,,,,,,,,,,,,
Mụn trứng cá,phát ban,mụn mủ,mụn đầu đen,vảy da,,,,,,,,,,,,,
Mụn trứng cá,phát ban,mụn mủ,mụn đầu đen,vảy da,,,,,,,,,,,,,
Mụn trứng cá,mụn mủ,mụn đầu đen,vảy da,,,,,,,,,,,,,,
Mụn trứng cá,phát ban,mụn đầu đen,vảy da,,,,,,,,,,,,,,
Mụn trứng cá,phát ban,mụn mủ,vảy da,,,,,,,,,,,,,,
Mụn trứng cá,phát ban,mụn mủ,mụn đầu đen,,,,,,,,,,,,,,
Mụn trứng cá,phát ban,mụn mủ,mụn đầu đen,vảy da,,,,,,,,,,,,,
Mụn trứng cá,phát ban,mụn mủ,mụn đầu đen,,,,,,,,,,,,,,
Mụn trứng cá,phát ban,mụn mủ,vảy da,,,,,,,,,,,,,,
Mụn trứng cá,phát ban,mụn đầu đen,vảy da,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,tiểu buốt,khó chịu bàng quang,nước tiểu mùi hôi,liên tục buồn tiểu,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,tiểu buốt,khó chịu bàng quang,nước tiểu mùi hôi,liên tục buồn tiểu,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,khó chịu bàng quang,nước tiểu mùi hôi,liên tục buồn tiểu,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,tiểu buốt,nước tiểu mùi hôi,liên tục buồn tiểu,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,tiểu buốt,khó chịu bàng quang,liên tục buồn tiểu,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,tiểu buốt,khó chịu bàng quang,nước tiểu mùi hôi,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,tiểu buốt,khó chịu bàng quang,nước tiểu mùi hôi,liên tục buồn tiểu,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,tiểu buốt,khó chịu bàng quang,liên tục buồn tiểu,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,khó chịu bàng quang,nước tiểu mùi hôi,liên tục buồn tiểu,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,tiểu buốt,khó chịu bàng quang,liên tục buồn tiểu,,,,,,,,,,,,,,
Vảy nến,phát ban,đau khớp,bong tróc da,bụi bạc trên da,vết lõm nhỏ trên móng,viêm móng,,,,,,,,,,,
Vảy nến,phát ban,đau khớp,bong tróc da,bụi bạc trên da,vết lõm nhỏ trên móng,viêm móng,,,,,,,,,,,
Vảy nến,đau khớp,bong tróc da,bụi bạc trên da,vết lõm nhỏ trên móng,viêm móng,,,,,,,,,,,,
Vảy nến,phát ban,bong tróc da,bụi bạc trên da,vết lõm nhỏ trên móng,viêm móng,,,,,,,,,,,,
Vảy nến,phát ban,đau khớp,bụi bạc trên da,vết lõm nhỏ trên móng,viêm móng,,,,,,,,,,,,
Vảy nến,phát ban,đau khớp,bong tróc da,vết lõm nhỏ trên móng,viêm móng,,,,,,,,,,,,
Vảy nến,phát ban,đau khớp,bong tróc da,bụi bạc trên da,viêm móng,,,,,,,,,,,,
Vảy nến,phát ban,đau khớp,bong tróc da,bụi bạc trên da,vết lõm nhỏ trên móng,,,,,,,,,,,,
Vảy nến,phát ban,đau khớp,bong tróc da,bụi bạc trên da,vết lõm nhỏ trên móng,viêm móng,,,,,,,,,,,
Vảy nến,phát ban,đau khớp,bong tróc da,bụi bạc trên da,vết lõm nhỏ trên móng,viêm móng,,,,,,,,,,,
Chốc lở,phát ban,sốt cao,mụn nước,loét đỏ quanh mũi,rỉ dịch vàng,,,,,,,,,,,,
Chốc lở,phát ban,sốt cao,mụn nước,loét đỏ quanh mũi,rỉ dịch vàng,,,,,,,,,,,,
Chốc lở,sốt cao,mụn nước,loét đỏ quanh mũi,rỉ dịch vàng,,,,,,,,,,,,,
Chốc lở,phát ban,mụn nước,loét đỏ quanh mũi,rỉ dịch vàng,,,,,,,,,,,,,
Chốc lở,phát ban,mụn nước,loét đỏ quanh mũi,rỉ dịch vàng,,,,,,,,,,,,,
Chốc lở,phát ban,sốt cao,loét đỏ quanh mũi,rỉ dịch vàng,,,,,,,,,,,,,
Chốc lở,phát ban,sốt cao,mụn nước,rỉ dịch vàng,,,,,,,,,,,,,
Chốc lở,phát ban,sốt cao,mụn nước,loét đỏ quanh mũi,,,,,,,,,,,,,
Chốc lở,phát ban,sốt cao,mụn nước,loét đỏ quanh mũi,rỉ dịch vàng,,,,,,,,,,,,
Chốc lở,phát ban,mụn nước,loét đỏ quanh mũi,rỉ dịch vàng,,,,,,,,,,,,,
Nhiễm nấm,ngứa,phát ban,nổi mẩn đỏ,dischromic  patches,,,,,,,,,,,,,
Nhiễm nấm,phát ban,nổi mẩn đỏ,dischromic  patches,,,,,,,,,,,,,,
Nhiễm nấm,ngứa,nổi mẩn đỏ,dischromic  patches,,,,,,,,,,,,,,
Nhiễm nấm,ngứa,phát ban,dischromic  patches,,,,,,,,,,,,,,
Nhiễm nấm,ngứa,phát ban,nổi mẩn đỏ,,,,,,,,,,,,,,
Nhiễm nấm,phát ban,nổi mẩn đỏ,dischromic  patches,,,,,,,,,,,,,,
Nhiễm nấm,ngứa,nổi mẩn đỏ,dischromic  patches,,,,,,,,,,,,,,
Nhiễm nấm,ngứa,phát ban,dischromic  patches,,,,,,,,,,,,,,
Nhiễm nấm,ngứa,phát ban,nổi mẩn đỏ,,,,,,,,,,,,,,
Nhiễm nấm,ngứa,phát ban,nổi mẩn đỏ,dischromic  patches,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt,,,,,,,,,,,,,
Dị ứng,run rẩy,ớn lạnh,chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,ớn lạnh,chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,run rẩy,chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,,,,,,,,,,,,,,
Dị ứng,run rẩy,ớn lạnh,chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,ớn lạnh,chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,run rẩy,chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt,,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,axit dạ dày,loét lưỡi,nôn mửa,ho,đau ngực,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,loét lưỡi,nôn mửa,ho,đau ngực,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,axit dạ dày,nôn mửa,ho,đau ngực,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,axit dạ dày,loét lưỡi,ho,đau ngực,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,axit dạ dày,loét lưỡi,nôn mửa,đau ngực,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,axit dạ dày,loét lưỡi,nôn mửa,ho,,,,,,,,,,,,
Trào ngược dạ dày,axit dạ dày,loét lưỡi,nôn mửa,ho,đau ngực,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,loét lưỡi,nôn mửa,ho,đau ngực,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,axit dạ dày,nôn mửa,ho,đau ngực,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,axit dạ dày,loét lưỡi,ho,đau ngực,,,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,,,
Ứ mật mãn tính,nôn mửa,vàng da,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,ngứa,vàng da,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,vàng da,chán ăn,đau bụng,vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn,đau bụng,vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn,chán ăn,vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn,chán ăn,đau bụng,,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,,,
Phản ứng thuốc,ngứa,phát ban,đau dạ dày,tiểu buốt,spotting  urination,,,,,,,,,,,,
Phản ứng thuốc,ngứa,đau dạ dày,tiểu buốt,spotting  urination,,,,,,,,,,,,,
Phản ứng thuốc,ngứa,phát ban,tiểu buốt,spotting  urination,,,,,,,,,,,,,
Phản ứng thuốc,ngứa,phát ban,đau dạ dày,spotting  urination,,,,,,,,,,,,,
Phản ứng thuốc,ngứa,phát ban,đau dạ dày,tiểu buốt,,,,,,,,,,,,,
Phản ứng thuốc,phát ban,đau dạ dày,tiểu buốt,spotting  urination,,,,,,,,,,,,,
Phản ứng thuốc,ngứa,đau dạ dày,tiểu buốt,spotting  urination,,,,,,,,,,,,,
Phản ứng thuốc,ngứa,phát ban,tiểu buốt,spotting  urination,,,,,,,,,,,,,
Phản ứng thuốc,ngứa,phát ban,đau dạ dày,spotting  urination,,,,,,,,,,,,,
Phản ứng thuốc,ngứa,phát ban,đau dạ dày,tiểu buốt,,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,chán ăn,đau bụng,xì hơi,ngứa bên trong,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,khó tiêu,đau bụng,xì hơi,ngứa bên trong,,,,,,,,,,,,
Viêm loét dạ dày,khó tiêu,chán ăn,đau bụng,xì hơi,ngứa bên trong,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,chán ăn,đau bụng,xì hơi,ngứa bên trong,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,khó tiêu,đau bụng,xì hơi,ngứa bên trong,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,khó tiêu,chán ăn,xì hơi,ngứa bên trong,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,khó tiêu,chán ăn,đau bụng,ngứa bên trong,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,khó tiêu,chán ăn,đau bụng,xì hơi,,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,khó tiêu,chán ăn,đau bụng,xì hơi,ngứa bên trong,,,,,,,,,,,
Viêm loét dạ dày,nôn mửa,khó tiêu,chán ăn,đau bụng,xì hơi,ngứa bên trong,,,,,,,,,,,
HIV/AIDS,teo cơ,mảng bám cổ họng,sốt cao,extra marital contacts,,,,,,,,,,,,,
HIV/AIDS,mảng bám cổ họng,sốt cao,extra marital contacts,,,,,,,,,,,,,,
HIV/AIDS,teo cơ,sốt cao,extra marital contacts,,,,,,,,,,,,,,
HIV/AIDS,teo cơ,mảng bám cổ họng,extra marital contacts,,,,,,,,,,,,,,
HIV/AIDS,teo cơ,mảng bám cổ họng,sốt cao,,,,,,,,,,,,,,
HIV/AIDS,teo cơ,mảng bám cổ họng,sốt cao,extra marital contacts,,,,,,,,,,,,,
HIV/AIDS,teo cơ,mảng bám cổ họng,sốt cao,extra marital contacts,,,,,,,,,,,,,
HIV/AIDS,mảng bám cổ họng,sốt cao,extra marital contacts,,,,,,,,,,,,,,
HIV/AIDS,teo cơ,sốt cao,extra marital contacts,,,,,,,,,,,,,,
HIV/AIDS,teo cơ,mảng bám cổ họng,sốt cao,,,,,,,,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,bồn chồn,lờ đờ,đường huyết bất thường,tầm nhìn mờ,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,bồn chồn,lờ đờ,đường huyết bất thường,tầm nhìn mờ,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,
Tiểu đường,giảm cân,bồn chồn,lờ đờ,đường huyết bất thường,tầm nhìn mờ,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,,
Tiểu đường,mệt mỏi,bồn chồn,lờ đờ,đường huyết bất thường,tầm nhìn mờ,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,lờ đờ,đường huyết bất thường,tầm nhìn mờ,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,bồn chồn,đường huyết bất thường,tầm nhìn mờ,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,bồn chồn,lờ đờ,tầm nhìn mờ,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,bồn chồn,lờ đờ,đường huyết bất thường,béo phì,đói quá mức,increased appetite,đái nhiều,,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,bồn chồn,lờ đờ,đường huyết bất thường,tầm nhìn mờ,đói quá mức,increased appetite,đái nhiều,,,,,,,,
Tiểu đường,mệt mỏi,giảm cân,bồn chồn,lờ đờ,đường huyết bất thường,tầm nhìn mờ,béo phì,increased appetite,đái nhiều,,,,,,,,
Viêm dạ dày ruột,nôn mửa,mắt trũng,mất nước,tiêu chảy,,,,,,,,,,,,,
Viêm dạ dày ruột,nôn mửa,mắt trũng,mất nước,tiêu chảy,,,,,,,,,,,,,
Viêm dạ dày ruột,mắt trũng,mất nước,tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,nôn mửa,mất nước,tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,nôn mửa,mắt trũng,tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,nôn mửa,mắt trũng,mất nước,,,,,,,,,,,,,,
Viêm dạ dày ruột,nôn mửa,mắt trũng,mất nước,tiêu chảy,,,,,,,,,,,,,
Viêm dạ dày ruột,mắt trũng,mất nước,tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,nôn mửa,mất nước,tiêu chảy,,,,,,,,,,,,,,
Viêm dạ dày ruột,nôn mửa,mắt trũng,tiêu chảy,,,,,,,,,,,,,,
Hen phế quản,mệt mỏi,ho,sốt cao,khó thở,tiền sử gia đình,đờm nhầy,,,,,,,,,,,
Hen phế quản,ho,sốt cao,khó thở,tiền sử gia đình,đờm nhầy,,,,,,,,,,,,
Hen phế quản,mệt mỏi,sốt cao,khó thở,tiền sử gia đình,đờm nhầy,,,,,,,,,,,,
Hen phế quản,mệt mỏi,ho,khó thở,tiền sử gia đình,đờm nhầy,,,,,,,,,,,,
Hen phế quản,mệt mỏi,ho,sốt cao,tiền sử gia đình,đờm nhầy,,,,,,,,,,,,
Hen phế quản,mệt mỏi,ho,sốt cao,khó thở,đờm nhầy,,,,,,,,,,,,
Hen phế quản,mệt mỏi,ho,sốt cao,khó thở,tiền sử gia đình,,,,,,,,,,,,
Hen phế quản,mệt mỏi,ho,sốt cao,khó thở,tiền sử gia đình,đờm nhầy,,,,,,,,,,,
Hen phế quản,ho,sốt cao,khó thở,tiền sử gia đình,đờm nhầy,,,,,,,,,,,,
Hen phế quản,mệt mỏi,sốt cao,khó thở,tiền sử gia đình,đờm nhầy,,,,,,,,,,,,
Cao huyết áp,đau đầu,đau ngực,chóng mặt,mất thăng bằng,mất tập trung,,,,,,,,,,,,
Cao huyết áp,đau ngực,chóng mặt,mất thăng bằng,mất tập trung,,,,,,,,,,,,,
Cao huyết áp,đau đầu,chóng mặt,mất thăng bằng,mất tập trung,,,,,,,,,,,,,
Cao huyết áp,đau đầu,đau ngực,mất thăng bằng,mất tập trung,,,,,,,,,,,,,
Cao huyết áp,đau đầu,đau ngực,chóng mặt,mất tập trung,,,,,,,,,,,,,
Cao huyết áp,đau đầu,đau ngực,chóng mặt,mất thăng bằng,,,,,,,,,,,,,
Cao huyết áp,đau đầu,đau ngực,chóng mặt,mất thăng bằng,mất tập trung,,,,,,,,,,,,
Cao huyết áp,đau ngực,chóng mặt,mất thăng bằng,mất tập trung,,,,,,,,,,,,,
Cao huyết áp,đau đầu,chóng mặt,mất thăng bằng,mất tập trung,,,,,,,,,,,,,
Cao huyết áp,đau đầu,đau ngực,mất thăng bằng,mất tập trung,,,,,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,đau đầu,tầm nhìn mờ,đói quá mức,cứng cổ,trầm cảm,dễ kích động,rối loạn thị giác,,,,,,,,
Đau nửa đầu,khó tiêu,đau đầu,tầm nhìn mờ,đói quá mức,cứng cổ,trầm cảm,dễ kích động,rối loạn thị giác,,,,,,,,,
Đau nửa đầu,axit dạ dày,đau đầu,tầm nhìn mờ,đói quá mức,cứng cổ,trầm cảm,dễ kích động,rối loạn thị giác,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,tầm nhìn mờ,đói quá mức,cứng cổ,trầm cảm,dễ kích động,rối loạn thị giác,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,đau đầu,đói quá mức,cứng cổ,trầm cảm,dễ kích động,rối loạn thị giác,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,đau đầu,tầm nhìn mờ,cứng cổ,trầm cảm,dễ kích động,rối loạn thị giác,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,đau đầu,tầm nhìn mờ,đói quá mức,trầm cảm,dễ kích động,rối loạn thị giác,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,đau đầu,tầm nhìn mờ,đói quá mức,cứng cổ,dễ kích động,rối loạn thị giác,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,đau đầu,tầm nhìn mờ,đói quá mức,cứng cổ,trầm cảm,rối loạn thị giác,,,,,,,,,
Đau nửa đầu,axit dạ dày,khó tiêu,đau đầu,tầm nhìn mờ,đói quá mức,cứng cổ,trầm cảm,dễ kích động,,,,,,,,,
Cervical spondylosis,đau lưng,yếu chi,đau cổ,chóng mặt,mất thăng bằng,,,,,,,,,,,,
Cervical spondylosis,đau lưng,yếu chi,đau cổ,chóng mặt,mất thăng bằng,,,,,,,,,,,,
Cervical spondylosis,yếu chi,đau cổ,chóng mặt,mất thăng bằng,,,,,,,,,,,,,
Cervical spondylosis,đau lưng,đau cổ,chóng mặt,mất thăng bằng,,,,,,,,,,,,,
Cervical spondylosis,đau lưng,yếu chi,chóng mặt,mất thăng bằng,,,,,,,,,,,,,
Cervical spondylosis,đau lưng,yếu chi,đau cổ,mất thăng bằng,,,,,,,,,,,,,
Cervical spondylosis,đau lưng,yếu chi,đau cổ,chóng mặt,,,,,,,,,,,,,
Cervical spondylosis,đau lưng,yếu chi,đau cổ,chóng mặt,mất thăng bằng,,,,,,,,,,,,
Cervical spondylosis,yếu chi,đau cổ,chóng mặt,mất thăng bằng,,,,,,,,,,,,,
Cervical spondylosis,đau lưng,đau cổ,chóng mặt,mất thăng bằng,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,đau đầu,weakness of one body side,rối loạn tri giác,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,đau đầu,weakness of one body side,rối loạn tri giác,,,,,,,,,,,,,
Paralysis (brain hemorrhage),đau đầu,weakness of one body side,rối loạn tri giác,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,weakness of one body side,rối loạn tri giác,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,đau đầu,rối loạn tri giác,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,đau đầu,weakness of one body side,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,đau đầu,weakness of one body side,rối loạn tri giác,,,,,,,,,,,,,
Paralysis (brain hemorrhage),đau đầu,weakness of one body side,rối loạn tri giác,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,weakness of one body side,rối loạn tri giác,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nôn mửa,đau đầu,rối loạn tri giác,,,,,,,,,,,,,,
Vàng da,ngứa,nôn mửa,mệt mỏi,giảm cân,sốt cao,vàng da,nước tiểu sẫm màu,đau bụng,,,,,,,,,
Vàng da,ngứa,nôn mửa,mệt mỏi,giảm cân,sốt cao,vàng da,nước tiểu sẫm màu,đau bụng,,,,,,,,,
Vàng da,nôn mửa,mệt mỏi,giảm cân,sốt cao,vàng da,nước tiểu sẫm màu,đau bụng,,,,,,,,,,
Vàng da,ngứa,mệt mỏi,giảm cân,sốt cao,vàng da,nước tiểu sẫm màu,đau bụng,,,,,,,,,,
Vàng da,ngứa,nôn mửa,giảm cân,sốt cao,vàng da,nước tiểu sẫm màu,đau bụng,,,,,,,,,,
Vàng da,ngứa,nôn mửa,mệt mỏi,sốt cao,vàng da,nước tiểu sẫm màu,đau bụng,,,,,,,,,,
Vàng da,ngứa,nôn mửa,mệt mỏi,giảm cân,vàng da,nước tiểu sẫm màu,đau bụng,,,,,,,,,,
Vàng da,ngứa,nôn mửa,mệt mỏi,giảm cân,sốt cao,nước tiểu sẫm màu,đau bụng,,,,,,,,,,
Vàng da,ngứa,nôn mửa,mệt mỏi,giảm cân,sốt cao,vàng da,đau bụng,,,,,,,,,,
Vàng da,ngứa,nôn mửa,mệt mỏi,giảm cân,sốt cao,vàng da,nước tiểu sẫm màu,,,,,,,,,,
